CF3,CF9,CF11,CF12,CF14,REV1_1,REV2_1
13781.778081862,12324.5240973018,14255.973201865,13742.1606638386,12093.4733046702,10050.7913674234,9675.65470190323
13780.1670146226,12324.4695456285,14253.364355382,13739.1505018374,12093.1557104578,10047.62278403,9673.92953146532
13778.7098155816,12324.6382938425,14250.8013480561,13736.2706165171,12092.850247297,10044.2718771567,9671.92490798252
13777.3857634409,12324.9326213518,14248.2390568356,13733.4924938556,12092.4732980031,10040.7262791859,9669.76969508449
13776.1383144857,12325.29154935,14245.6852757904,13730.8129290715,12091.9939010693,10036.9175786599,9667.63983498731
13774.8606695947,12325.6990033133,14243.2842098166,13728.2741867006,12091.4326456311,10032.8287159038,9665.67936970258
13773.4767492475,12326.0960897584,14241.0971532762,13725.9132820097,12090.7823342595,10028.5393216022,9663.89395423323
13771.9523983457,12326.3778927025,14239.0068367347,13723.7784875541,12089.965253556,10024.0523214286,9662.06225765306
13770.2798238482,12326.5136751839,14236.9522078978,13721.8817665505,12088.9977297716,10019.4854308943,9660.13938133953
13768.4362971149,12326.4815429657,14234.8905568481,13720.2369125175,12087.9000418799,10015.0277411975,9658.22080114782
13766.4022500583,12326.2747040317,14232.7209461664,13718.819039074,12086.6601530335,10010.8949712577,9656.33964732386
13764.1667456427,12325.9507582477,14230.4363305322,13717.5424657641,12085.255760193,10007.0645681606,9654.62749961096
13761.79056231,12325.6217551243,14228.1285168732,13716.3107341595,12083.760143013,10003.6201137869,9653.17281622633
13759.4017857143,12325.3701510539,14225.8652923497,13715.1232740047,12082.2704418423,10000.5159968774,9652.06619633099
13757.103707874,12325.2593564782,14223.7312776605,13713.9727406365,12080.8406106811,9997.55986316366,9651.12548831027
13754.998377193,12325.3539896617,14221.7893945802,13712.7574620144,12079.4382174185,9994.55773261278,9650.15988565163
13753.2012653958,12325.6647552365,14220.0416662744,13711.4187965796,12078.0070016474,9991.36894171178,9649.13651839649
13751.726817146,12326.1646145686,14218.40902876,13709.986361779,12076.5505072293,9987.87727408455,9647.91425899733
13750.4841566312,12326.8315922865,14216.7759649744,13708.437402991,12075.0863919717,9984.09541007478,9646.48185005903
13749.3753748817,12327.6639782403,14215.0511573636,13706.7179501735,12073.6149617629,9980.1592533901,9644.8846337906
